date,type,operator,fatalities,country,cat,year
,Boeing 707-458,Wolf Aviation,0.0,D.R. Congo,A1,1984
,Vickers 756D Viscount,Air Zimbabwe,0.0,Zimbabwe,O1,1984
1984-08-02,BN-2A Islander,Vieques Air Link,9.0,Puerto Rico,A1,1984
1984-08-03,Fokker F-27 Friendship 200,Rio Sul,0.0,Brazil,A1,1984
1984-08-04,BAC One-Eleven 527FK,Philippine Air Lines,0.0,Philippines,A1,1984
1984-08-05,Antonov An-12B,Soviet Navy,24.0,Pakistan,A1,1984
1984-08-05,Fokker F-27 Friendship 600,Biman Bangladesh,49.0,Bangladesh,A1,1984
1984-08-06,Douglas DC-8-55F,SFAIR,0.0,France,H2,1984
1984-08-07,Airbus A300B2-202,Iran Air,0.0,Italy,H2,1984
1984-08-10,HAL-748,Indian Airlines,0.0,India,H2,1984
1984-08-10,BN-2A-21 Islander,Sabang Merauke Raya Air Charter,4.0,Indonesia,A1,1984
1984-08-11,Douglas C-47A (DC-3),Aviation Enterprises,3.0,USA,A1,1984
1984-08-12,Lockheed 18 Learstar II,Geoterrex,0.0,Canada,A1,1984
1984-08-15,Douglas C-47A (DC-3),Airfast Indonesia,2.0,Indonesia,A1,1984
1984-08-19,Vickers 668 Varsity T.1,Leicester Aircraft Preservation,11.0,U.K.,A1,1984
1984-08-19,Ilyushin Il-86,"Aeroflot, Moscow",0.0,Kazakhstan,A2,1984
1984-08-24,Beech C99,Wings West Airlines,15.0,USA,A1,1984
1984-08-24,Antonov An-12B,Balkan Bulgarian,0.0,Ethiopia,A1,1984
1984-08-24,Boeing 737-2A8,Indian Airlines,0.0,U.A.E.,H2,1984
1984-08-27,Douglas C-47 (DC-3),Unknown,8.0,Nicaragua,C1,1984
1984-08-28,Vickers 757 Viscount,Zaire Aero Service,0.0,D.R. Congo,A1,1984
1984-08-28,Airbus A300B2-203,Iran Air,0.0,Iraq,H2,1984
1984-08-30,Boeing 737-2H7C,Cameroon Airlines,2.0,Cameroon,A1,1984
1984-09-04,DHC-5D Buffalo,de Havilland Canada,0.0,U.K.,A1,1984
1984-09-06,BN-2A-20 Islander,Talair,9.0,P.N. Guinea,A1,1984
1984-09-07,Fairchild F-27,Wonderair,0.0,Namibia,A1,1984
1984-09-09,Boeing 727,Iran Air,0.0,Iraq,H2,1984
1984-09-11,Handley Page HPR-7 Herald 202,MMM Aero Services,30.0,D.R. Congo,A1,1984
1984-09-12,Airbus A300B2-203,Iran Air,0.0,Iran,H2,1984
1984-09-16,Boeing 737-270,Iraqi Airways,3.0,Iraq,H2,1984
1984-09-16,Antonov An-2T,APRL,11.0,Poland,A1,1984
1984-09-16,Ilyushin Il-14FK,"Aeroflot, Leningrad",0.0,Estonia,A1,1984
1984-09-17,Swearingen SA226-TC Metro II,Austrian Air Services,0.0,Austria,A1,1984
1984-09-18,Douglas DC-8-54F,LAC Colombia,0.0,Colombia,A1,1984
1984-09-18,Douglas DC-8-55F,AECA,53.0,Ecuador,A1,1984
1984-09-19,Antonov An-12,Angolan Government,,Angola,U1,1984
1984-09-21,DC-10-30,Ariana Afghan Airlines,0.0,Afghanistan,C2,1984
1984-09-22,Douglas C-47A (DC-3),Thai AF,,Thailand,A1,1984
1984-09-24,Antonov An-12,Soviet AF,1.0,Afghanistan,C2,1984
1984-09-25,Antonov An-24RV,"Aeroflot, West Siberia",1.0,Russia,A2,1984
1984-09-26,Cessna 500 Citation I,Air Niagara,2.0,Canada,A1,1984
1984-09-30,Antonov An-26,Angolan AF,,,A1,1984
1984-10-01,A.W. AW-660 Argosy C.1,A & AEE,0.0,U.K.,A1,1984
1984-10-04,MBB HFB-320 Hansa Jet,McCollum Aviation,3.0,USA,A1,1984
1984-10-04,Antonov An-2T,"Aeroflot, Kazakstan",0.0,Kazakhstan,A1,1984
1984-10-06,Cessna 500 Citation I,Grondmet Handels,0.0,Greece,A1,1984
1984-10-06,Antonov An-2R,"Aeroflot, East Siberia",0.0,Russia,A1,1984
1984-10-08,Learjet 24B,Clay Lacy Aviation,3.0,USA,A1,1984
1984-10-09,DHC-6 Twin Otter 100,Nahanni Air Services,7.0,Canada,A1,1984
1984-10-11,Tupolev Tu-154B-1,"Aeroflot, East Siberia",178.0,Russia,A1,1984
1984-10-11,DHC-6 Twin Otter 100,Labrador Airways,4.0,Canada,A1,1984
1984-10-11,C-7A Caribou (DHC-4),Spanish AF,0.0,Spain,A1,1984
1984-10-13,Consolidated PBY-6A Catalina,Confederate Air Force,7.0,USA,A1,1984
1984-10-15,Antonov An-12BP,Soviet AF,1.0,Afghanistan,C1,1984
1984-10-22,Convair CV-440-12,TAM,0.0,Bolivia,A1,1984
1984-10-23,DHC-4A Caribou,NewCal Aviation,1.0,Atlantic Ocean,A1,1984
1984-10-26,Douglas DC-3C,Atorie Air,0.0,USA,A2,1984
1984-10-27,Ilyushin Il-76M,Soviet AF,11.0,Afghanistan,C1,1984
1984-10-31,Douglas C-47B (DC-3),Village Airways,4.0,Philippines,A1,1984
1984-11-02,Lockheed C-130E Hercules,USAF,0.0,Germany,A1,1984
1984-11-03,BN-2T Islander,TTA,0.0,Mozambique,A1,1984
1984-11-05,Lockheed L-1011 TriStar,Saudi Arabian,0.0,Iran,H2,1984
1984-11-10,Learjet 24F,Macton Corp.,2.0,U.S. Virgin Isl.,A1,1984
1984-11-11,Douglas C-47A (DC-3),Stellair,,Morocco,A1,1984
1984-11-19,Embraer EMB-110P1 Bandeirante,Euroair,1.0,U.K.,A1,1984
1984-11-20,DHC-6 Twin Otter 300,TAME Ecuador,14.0,Ecuador,A1,1984
1984-11-21,Beech A100 King Air,Business Flights,0.0,Canada,A1,1984
1984-11-22,Douglas C-47A (DC-3),Factury Buying Corp.,0.0,Mexico,A1,1984
1984-11-23,Transall C-160F,French AF,9.0,France,A1,1984
1984-11-23,Transall C-160NG,French AF,4.0,France,A1,1984
1984-11-24,Boeing 707-338C,Somali Airlines,0.0,Ethiopia,H2,1984
1984-11-25,BN-2A-21 Islander,Snowy Mountains Hydro,0.0,Australia,A1,1984
1984-11-29,BAe 3101 Jetstream 31,Eastern Metro,0.0,USA,H2,1984
1984-12-01,Boeing 720-027,NASA,0.0,USA,O1,1984
1984-12-04,Let L-410MA,"Aeroflot, Central Region",17.0,Russia,A1,1984
1984-12-04,Airbus A300C4-620,Kuwait Airways,2.0,Iran,H2,1984
1984-12-06,Embraer EMB-110P1 Bandeirante,PBA,13.0,USA,A1,1984
1984-12-09,BN-2A-9 Islander,Aviation Sans Fronti̬res,0.0,Chad,O1,1984
1984-12-12,Dornier Do 128-2 Skyservant,Malawi Army Air Wing,0.0,Malawi,O1,1984
1984-12-16,Convair CV-440-62,Air Resorts Airlines,0.0,USA,A1,1984
1984-12-18,Douglas C-47 (DC-3),Thai Navy,0.0,Thailand,A1,1984
1984-12-18,Antonov An-2,"Aeroflot, Krasnoyarsk",0.0,Russia,A1,1984
1984-12-18,DHC-6 Twin Otter 300,Peruvian AF,21.0,Peru,A1,1984
1984-12-19,DHC-3T Cox Turbine Otter,Cox Aircraft Corp.,0.0,USA,A1,1984
1984-12-20,DHC-6 Twin Otter 300,Air Tanzania,3.0,Tanzania,A1,1984
1984-12-20,Learjet 35,Jet East,1.0,USA,A1,1984
1984-12-22,DHC-6 Twin Otter 300,Royal Nepal Airlines,15.0,Nepal,A1,1984
1984-12-23,Tupolev Tu-154B-2,"Aeroflot, Krasnoyarsk",110.0,Russia,A1,1984
1984-12-29,Lockheed L-100-30 Hercules,Transamerica Airlines,0.0,Angola,A1,1984
1984-12-29,Let L-410UVP,"Aeroflot, North Kavkaz",0.0,Russia,A1,1984
1984-12-30,DC-9-32,Garuda,0.0,Indonesia,A1,1984
1984-12-31,DC-10,American Airlines,0.0,Cuba,H2,1984
,Douglas C-47D (DC-3),Aerolineas La Paz,,,A1,1984
,Douglas DC-6A/B,Unknown,,Bahamas,U1,1984
,Tupolev Tu-134A,"Aeroflot, Belarus",0.0,Belarus,O1,1984
,Dornier Do 28D-1 Skyservant,H̩met Exploration,,Mali,A1,1984
,Antonov An-24B,"Aeroflot, Krasnoyarsk",0.0,Russia,A1,1984
,Douglas C-47D (DC-3),Paraguay AF,,Paraguay,U1,1984
1985-01-01,Boeing 727-225,Eastern Air Lines,29.0,Bolivia,A1,1985
1985-01-04,Boeing 727-235,Pan Am,0.0,USA,H2,1985
1985-01-08,DHC-6 Twin Otter 300,Bakhtar Afghan,0.0,Afghanistan,A1,1985
1985-01-08,Fokker F-27 Friendship 200MAR,Thai Navy,0.0,Thailand,A1,1985
1985-01-09,Lockheed L-188AF Electra,TPI,3.0,USA,A1,1985
1985-01-09,Rockwell T-39N Sabreliner,Westinghouse Electric Corp.,0.0,USA,A2,1985
1985-01-10,Ilyushin Il-14T,MAP Moscow,0.0,Kazakhstan,A1,1985
1985-01-13,Vickers 806 Viscount,Mandala Airlines,0.0,Indonesia,A1,1985
1985-01-17,Douglas C-47A (DC-3),Thai AF,,Thailand,U1,1985
1985-01-18,Antonov An-24V,CAAC,38.0,China,A1,1985
1985-01-18,GAF Nomad N.22B,Barrier Reef Airways,0.0,Australia,O1,1985
1985-01-18,Airbus A300B4,Eastern Air Lines,0.0,USA,H2,1985
1985-01-19,Ilyushin Il-18D,Cubana,38.0,Cuba,A1,1985
1985-01-21,Lockheed L-188A Electra,Galaxy Airlines,70.0,USA,A1,1985
1985-01-22,Lockheed C-130A Hercules,USAF,21.0,Honduras,A1,1985
1985-01-22,Antonov An-26RT,Soviet AF,8.0,Afghanistan,A1,1985
1985-01-23,Boeing 727-2K3,LAB,1.0,Bolivia,C2,1985
1985-01-23,Embraer EMB-110P1 Bandeirante,AIRES Colombia,17.0,Colombia,A1,1985
1985-01-23,DHC-6 Twin Otter 300,ACES,23.0,Colombia,A1,1985
1985-01-24,Antonov An-2R,"Aeroflot, Leningrad",0.0,Russia,A1,1985
1985-01-28,BN-2A Islander,Aviones de Panama,0.0,Panama,A1,1985
1985-01-29,Lockheed L-188CF Electra,Galaxy Airlines,0.0,USA,A1,1985
1985-01-31,Fairchild SA227-AT Expediter,UPS,0.0,USA,A1,1985
,Douglas DC-4,BIF Air Inc,,Turks & Caicos,A1,1985
1985-02-01,Tupolev Tu-134AK,"Aeroflot, Belarus",58.0,Belarus,A1,1985
1985-02-01,Beech A100 King Air,Lisa Flite Corporation,2.0,USA,A1,1985
1985-02-03,PADC/BN-2A-21 Islander,Geelong Air Travel,0.0,Australia,A2,1985
1985-02-04,C-115 Buffalo (DHC-5),Brazilian AF,,,U1,1985
1985-02-05,DC-9-15,Airborne Express,0.0,USA,A1,1985
1985-02-07,Canadair Challenger 601,TAG Aviation,0.0,Italy,A1,1985
1985-02-07,Boeing 707-123B,Cyprus Airways,0.0,Lebanon,H2,1985
1985-02-08,Boeing 737-2A8,Indian Airlines,0.0,India,A2,1985
1985-02-14,BN-2A-3 Islander,Dirgantara Air Services,9.0,Indonesia,A1,1985
1985-02-19,Boeing 747SP-09,China Airlines,0.0,Pacific Ocean,A2,1985
1985-02-19,Boeing 727-256,Iberia,148.0,Spain,A1,1985
1985-02-22,Antonov An-24V,Air Mali,51.0,Mali,A1,1985
1985-02-23,Boeing 707-300,MEA,1.0,Lebanon,H2,1985
1985-02-24,Dornier 228-100,Alfred Wegener Inst.,3.0,Western Sahara,C1,1985
1985-02-24,Lockheed KC-130H Hercules,Saudi AF,8.0,Saudi Arabia,A1,1985
1985-02-25,Boeing RC-135T Rivet Dandy,USAF,3.0,USA,A1,1985
1985-02-27,Boeing 727-230,Lufthansa,0.0,Austria,H2,1985
1985-02-27,DHC-6 Twin Otter 310,ACES,0.0,Colombia,O1,1985
,Lockheed P-3F Orion,Iran AF,,Iran,A1,1985
1985-03-05,Antonov An-26Sh,Soviet AF,0.0,Ukraine,A1,1985
1985-03-06,Fokker F-27 Friendship 600,Libyan Arab Airlines,0.0,Libya,A1,1985
1985-03-09,Lockheed L-1011 TriStar 500,Alia,0.0,U.A.E.,C2,1985
1985-03-11,Antonov An-30B,Soviet AF,2.0,Afghanistan,C1,1985
1985-03-12,DHC-6 Twin Otter 300,Seair Alaska,0.0,USA,A1,1985
1985-03-12,Lockheed C-130E Hercules,USAF,6.0,USA,A1,1985
1985-03-14,DHC-5D Buffalo,Sudan AF,4.0,South Sudan,A1,1985
1985-03-16,Boeing 747-3B3,UTA,0.0,France,O1,1985
1985-03-17,Boeing 737-268,Saudi Arabian,1.0,Saudi Arabia,H2,1985
1985-03-19,Boeing KC-135A,USAF,0.0,Egypt,O1,1985
1985-03-20,Morane Saulnier (FMA) MS.760A Paris IA,Argentine AF,3.0,Argentina,A1,1985
1985-03-21,BN-2A-3 Islander,Airfast Indonesia,,Indonesia,A1,1985
1985-03-23,Swearingen SA226-TC Metro II,Scheduled Skyways,0.0,USA,A2,1985
1985-03-25,Antonov An-2T,"Aeroflot, Yakutsk",0.0,Russia,A1,1985
1985-03-26,Grumman G-111 Albatross,Pelita Air Service,0.0,Singapore,A1,1985
1985-03-27,Boeing 727-230,Lufthansa,0.0,Turkey,H2,1985
1985-03-28,Fokker F-28 Fellowship 3000,SATENA,46.0,Colombia,A1,1985
1985-03-29,Lockheed CC-130H Hercules,Canadian Armed Forces,5.0,Canada,A1,1985
1985-03-29,Lockheed CC-130H Hercules,Canadian Armed Forces,5.0,Canada,A1,1985
1985-03-29,Boeing 737-230,Lufthansa,0.0,U.K.,H2,1985
1985-04-01,Boeing 707-300,MEA,0.0,Saudi Arabia,H2,1985
1985-04-04,Boeing 727-2D3,Royal Jordanian,0.0,Greece,C2,1985
1985-04-11,BAe-125-700B,YPF,7.0,Argentina,A1,1985
1985-04-15,Boeing 737-2P5,Thai Airways,11.0,Thailand,A1,1985
1985-04-20,Convair CV-440-35,Carga A̩reo Transportada,4.0,Bolivia,A1,1985
1985-04-20,Fokker F-27 Friendship 100,Aeronica,2.0,Greenland,A1,1985
1985-04-20,CT-39A-1-NO Sabreliner,USAF,5.0,USA,A1,1985
1985-04-22,Douglas DC-6B,Securit̩ Civile,5.0,France,A1,1985
1985-04-26,Boeing 737-281,China Airlines,0.0,Taiwan,H2,1985
1985-04-29,Douglas C-47 (DC-3),Mexican AF,,Mexico,U1,1985
,Antonov An-24RV,MIAT,,Mongolia,A1,1985
1985-05-03,Tupolev Tu-134A,"Aeroflot, Estonia",79.0,Ukraine,A1,1985
1985-05-03,Antonov An-26,Soviet AF,15.0,Ukraine,A1,1985
1985-05-03,BN-2A Islander,Trans Island Airways,,Bahamas,U1,1985
1985-05-04,Douglas DC-3-313D,Perris Valley Paracenter,0.0,USA,A1,1985
1985-05-09,Consolidated PBY-5A Catalina,Drilling Muds,1.0,USA,A1,1985
1985-05-11,Antonov An-2TP,"Aeroflot, Krasnoyarsk",0.0,Russia,A1,1985
1985-05-11,Boeing 737-268,Saudi Arabian,0.0,Qatar,A2,1985
1985-05-12,Dassault Falcon 50,Wrigley,0.0,USA,A1,1985
1985-05-12,BN-2A-21 Islander,Bali Int. Air Service,,Indonesia,A1,1985
1985-05-15,BN-2 Islander,TTA,5.0,Mozambique,A1,1985
1985-05-17,Antonov An-2T,Polskie Towarzystwo Geo.,,Poland,A1,1985
1985-05-17,BN-2A-21 Islander,Indian Navy,3.0,India,A1,1985
1985-05-18,Boeing 727-281,KAL,0.0,South Korea,H2,1985
1985-05-21,Cessna 501 Citation I/SP,Target Development & Consulting Inc,2.0,USA,A1,1985
1985-05-21,Antonov An-2,"Aeroflot, Tyumen",0.0,Russia,A1,1985
1985-05-21,Antonov An-2,Unknown,1.0,Bulgaria,A1,1985
1985-05-23,BN-2A-8 Islander,Chilcotin Cariboo Aviation,0.0,Canada,A1,1985
1985-05-28,Convair CV-580,AVENSA,2.0,Venezuela,A1,1985
1985-05-29,Antonov An-2R,"Aeroflot, Leningrad",4.0,Russia,A1,1985
1985-05-31,Grumman G-159 Gulfstream I,General Aviation,2.0,USA,A1,1985
,BN-2A-9 Islander,Air Mali,,,U1,1985
1985-06-05,Antonov An-2TP,"Aeroflot, Yakutsk",0.0,Russia,A1,1985
1985-06-09,Beech 200 Super King Air,Jaradac International Corp.,2.0,USA,A1,1985
1985-06-10,Learjet 24B,Euralair International,2.0,France,A1,1985
1985-06-10,Antonov An-2R,"Aeroflot, Uzbekistan",2.0,Russia,A1,1985
1985-06-11,Rockwell 1121 Jet Commander,Sultan Industries,0.0,USA,A1,1985
1985-06-12,Boeing 727-2D3,Alia,0.0,Lebanon,H1,1985
1985-06-12,Boeing 707-300,MEA,0.0,Cyprus,H2,1985
1985-06-12,Antonov An-2,Unknown,1.0,Bulgaria,A1,1985
1985-06-13,Boeing 707-336B,Benin Government,0.0,Libya,A1,1985
1985-06-14,Boeing 727-231,TWA,1.0,Lebanon,H2,1985
1985-06-19,Convair VT-29B (CV-240),Combs Airways,0.0,USA,A1,1985
1985-06-20,Antonov An-2TP,"Aeroflot, Yakutsk",0.0,Russia,A1,1985
1985-06-21,Boeing 737-205,Braathens,0.0,Norway,H2,1985
1985-06-23,Embraer EMB-110P Bandeirante,TABA,17.0,Brazil,A1,1985
1985-06-23,Boeing 747-237B,Air-India,329.0,Atlantic Ocean,C1,1985
1985-06-24,Lockheed C-130E Hercules,Brazilian AF,7.0,Brazil,A1,1985
1985-06-27,DC-10-10,American Airlines,0.0,Puerto Rico,A2,1985
1985-06-27,Embraer P-95 Bandeirulha (EMB-111A),Brazilian AF,4.0,Atlantic Ocean,A1,1985
1985-06-27,Antonov An-2R,"Aeroflot, East Siberia",0.0,Russia,A1,1985
1985-06-28,Boeing 727-2F2,THY,0.0,Turkey,H2,1985
1985-06-30,Douglas C-47B (DC-3),Northern Peninsula Fisheries,0.0,USA,A1,1985
,BN-2A Islander,Rougier Gabon,,,U1,1985
1985-07-01,BAe BAe-748-314 Srs. 2A LFD,Tanzanian AF,4.0,Tanzania,A1,1985
1985-07-02,Fokker F-27 Friendship 200,Sudan Airways,0.0,Sudan,A1,1985
1985-07-04,Airbus A300B4-203,Air Niugini,0.0,Australia,H2,1985
1985-07-04,Antonov An-2R,"Aeroflot, Krasnoyarsk",0.0,Russia,A1,1985
1985-07-04,DC-8-73CF,"Evergreen International, op.for Air-India",0.0,India,A2,1985
1985-07-07,Douglas C-118A (DC-6),Northern Pacific Transport,0.0,USA,A1,1985
1985-07-07,Douglas DC-3A,LACOL Colombia,3.0,Colombia,A1,1985
1985-07-07,Antonov An-2R,"Aeroflot, Privolzhsk",0.0,Russia,A1,1985
1985-07-10,Tupolev Tu-154B-2,"Aeroflot, Uzbekistan",200.0,Uzbekistan,A1,1985
1985-07-11,Antonov An-12,Soviet AF,14.0,Afghanistan,C1,1985
1985-07-14,DHC-3 Otter,Propair,0.0,Canada,A1,1985
1985-07-15,Antonov An-2R,"Aeroflot, Georgia",0.0,Russia,A1,1985
1985-07-17,Convair CV-990,NASA,0.0,USA,A1,1985
1985-07-24,Douglas DC-6B,Colombian AF,80.0,Colombia,A1,1985
1985-07-24,Dornier CD-01A Seastar,Dornier,0.0,Germany,A1,1985
1985-07-26,Ilyushin Il-14,Soviet AF,7.0,Russia,A1,1985
1985-07-29,Consolidated PBY-6A Catalina,Aries Aire,2.0,USA,A1,1985
1985-07-30,BN-2A Islander,United Air Charters,1.0,Zimbabwe,C2,1985
1985-08-02,Lockheed L-1011 TriStar 1,Delta Air Lines,135.0,USA,A1,1985
1985-08-04,Embraer EMB-110P1 Bandeirante,AIRES Colombia,0.0,Colombia,A1,1985
1985-08-05,Boeing 727,Iran Air,1.0,Iran,H2,1985
1985-08-12,DHC-6 Twin Otter 300,Merpati Nusantara,2.0,Indonesia,A1,1985
1985-08-12,Boeing 747SR-46,JAL,520.0,Japan,A1,1985
1985-08-12,Beech 200 Super King Air,Jet Fleet,0.0,USA,A1,1985
1985-08-13,Antonov An-2R,Aviatia Utilitara,,,A1,1985
1985-08-15,Boeing 707-336C,Alyemda,3.0,Yemen,A2,1985
1985-08-19,Martin 4-0-4,CAN,0.0,Bolivia,A1,1985
1985-08-20,Learjet 24XR,ERA-Jet Alaska,3.0,USA,A1,1985
1985-08-20,Learjet 35,Wards Express,0.0,Australia,A2,1985
1985-08-21,Boeing 720-023B,MEA,0.0,Lebanon,C1,1985
1985-08-21,Boeing 720-047B,MEA,0.0,Lebanon,C1,1985
1985-08-22,Boeing 737-236,British Airtours,55.0,U.K.,A1,1985
1985-08-25,Beech 99,Bar Harbor Airlines,8.0,USA,A1,1985
1985-08-27,Boeing KC-135A,USAF,7.0,USA,A1,1985
1985-08-28,Beech C99,Sunbird Airlines,3.0,USA,A1,1985
1985-08-29,Alenia G-222SAA,Italian AF,4.0,Italy,A1,1985
1985-08-30,BN-2A Islander,Douglas Airways,3.0,P.N. Guinea,A1,1985
1985-09-01,Antonov An-2P,"Aeroflot, Yakutsk",0.0,Russia,A1,1985
1985-09-04,Antonov An-26,Bakhtar Afghan,52.0,Afghanistan,C1,1985
1985-09-06,DC-9-14,Midwest Express,31.0,USA,A1,1985
1985-09-10,Douglas DC-3,Collier County Mosquito Control,0.0,USA,A1,1985
1985-09-15,DHC-6 Twin Otter 300,PIA,0.0,Pakistan,O2,1985
1985-09-22,Learjet 35A,Louisiana Pacific,1.0,USA,A1,1985
1985-09-23,Beech B99,"Henson Airlines, opf Piedmont Airlines",14.0,USA,A1,1985
1985-09-23,Dassault Falcon 10,Durakool,0.0,USA,A1,1985
1985-09-23,BN-2 Islander,Angolan AF,,Angola,U1,1985
1985-09-25,Boeing 737-2X6C,MarkAir,0.0,USA,A2,1985
1985-09-25,Antonov An-12,MAP Kom na Amu APO,9.0,Ukraine,A1,1985
1985-09-26,BN-2 Islander,Douglas Airways,4.0,P.N. Guinea,A1,1985
1985-09-29,Cessna 208 Caravan I,Air Carriers Express,17.0,USA,A1,1985
,Grumman G-159 Gulfstream I,private,0.0,USA,A1,1985
1985-10-09,Embraer EMB-110C Bandeirante,Nordeste Linhas A̩reas,2.0,Brazil,A1,1985
1985-10-09,SE-210 Caravelle VI-N,African Air Charter,0.0,D.R. Congo,A1,1985
1985-10-10,IAI 1124 Westwind,Pel-Air,2.0,Australia,A1,1985
1985-10-11,Curtiss C-46D,SABENI,2.0,Bolivia,A1,1985
1985-10-11,Yakovlev Yak-40,"Aeroflot, Georgia",14.0,Georgia,A1,1985
1985-10-11,DHC-6 Twin Otter 200,Mountain Air Cargo,1.0,USA,A1,1985
1985-10-12,Fokker F-27 Friendship 600,Burma Airways,4.0,Myanmar,A1,1985
1985-10-18,Lockheed L-1011 TriStar 500,Alia,0.0,Indian Ocean,A2,1985
1985-10-19,Vickers 835 Viscount,Ray Charles,0.0,USA,A1,1985
1985-10-20,Embraer C-95B Bandeirante (EMB-110),Brazilian AF,0.0,Brazil,A1,1985
1985-10-22,Shorts 360-100,CAAC,0.0,China,A1,1985
1985-10-22,Learjet 24D,ERA-Jet Alaska,4.0,USA,A1,1985
1985-10-28,Beech 200 Super King Air,Unknown,,Colombia,U1,1985
1985-10-30,Boeing 727,American Airlines,0.0,USA,C2,1985
1985-11-01,Cessna 208 Caravan I,Hermens Air,2.0,USA,A1,1985
1985-11-02,Boeing 707-300,Iran Air,0.0,Iran,H2,1985
1985-11-07,Hawker Siddeley HS-125-F400A,Hardees Foods,0.0,USA,A1,1985
1985-11-10,Dassault Falcon 50,Nabisco Brands,3.0,USA,A1,1985
1985-11-10,Fokker F-27 Friendship 600,Uganda Airlines,0.0,Uganda,H2,1985
1985-11-15,Convair VC-131H Samaritan (CV-580),US Navy,3.0,USA,A1,1985
1985-11-19,Boeing 737,America West,0.0,USA,H2,1985
1985-11-21,Lockheed C-130H-MP Hercules,Indonesian AF,11.0,Indonesia,A1,1985
1985-11-24,Boeing 737-266,EgyptAir,60.0,Malta,H1,1985
1985-11-24,Grumman American G-1159 Gulfstream II,Gulfstream Aerospace,0.0,Canada,A2,1985
1985-11-25,Antonov An-12BP,Soviet AF,21.0,Angola,C1,1985
1985-11-30,Lockheed L-188C Electra,Mandala Airlines,0.0,Indonesia,A1,1985
1985-12-02,Boeing 747-228B,Air France,0.0,Brazil,A1,1985
1985-12-04,Swearingen SA226-TC Metro II,Delta Air,0.0,Germany,A1,1985
1985-12-07,Boeing 737-248,Aer Lingus,0.0,Ireland,A2,1985
1985-12-08,Learjet 35A,Corporate Air,3.0,USA,A1,1985
1985-12-10,Douglas C-47A (DC-3),South African AF,0.0,South Africa,A2,1985
1985-12-10,Douglas C-47B (DC-3),South African AF,0.0,South Africa,A2,1985
1985-12-12,DC-8-63CF,Arrow Air,256.0,Canada,A1,1985
1985-12-12,Learjet 24B,Air Provence,0.0,France,A1,1985
1985-12-12,Learjet 35A,General Telephone,2.0,USA,A1,1985
1985-12-13,BN-2A-26 Islander,A̩ro-Service,,Ghana,A1,1985
1985-12-13,BN-2A-3 Islander,Aviones de Panama,7.0,Panama,A1,1985
1985-12-15,Boeing 747-136,British Airways,0.0,USA,A2,1985
1985-12-19,Antonov An-24,Aeroflot,0.0,China,H2,1985
1985-12-23,unknown jetliner,Iran Air,1.0,Iran,H2,1985
1985-12-25,Douglas C-47 (DC-3),AeroEjecutivos,,Venezuela,A1,1985
1985-12-26,Antonov An-26RT,Soviet AF,1.0,Afghanistan,A1,1985
1985-12-27,Boeing 747,Saudi Arabian,0.0,Saudi Arabia,H2,1985
1985-12-30,Shorts SC.7 Skyvan 3-100,Nepal Army,25.0,Nepal,A1,1985
1985-12-31,BAe-125-700B,Nigerian Government,7.0,Nigeria,A1,1985
1985-12-31,Douglas DC-3C,Century Equipment,7.0,USA,A1,1985
1985-12-31,Douglas C-47 (DC-3),Mexican AF,,Mexico,U1,1985
,IAI 1124 Westwind I,private,,Mexico,U1,1985
,Antonov An-2TP,"Aeroflot, Kazakstan",,Russia,A1,1985
,Antonov An-24RV,MIAT,,Mongolia,A1,1985
,Antonov An-12B,"Aeroflot, Privolzhsk",,,U1,1985
1986-01-03,Antonov An-2T,Tselinny gorno-khimicheski kombinat,0.0,Kazakhstan,A1,1986
1986-01-13,BN-2A-6 Islander,Borealis Exploration,0.0,Canada,A2,1986
1986-01-15,Dassault Falcon 10,Air BG,2.0,France,A1,1986
1986-01-15,Boeing 737-2A8,Indian Airlines,0.0,India,A2,1986
1986-01-16,Antonov An-2R,ZUA,,Sudan,A1,1986
1986-01-18,SE-210 Caravelle VI-N,"SAETA, op.for Aerovias Guatemala",94.0,Guatemala,A1,1986
1986-01-19,Douglas C-47A (DC-3),Austin Airways,0.0,Canada,A1,1986
1986-01-22,Boeing 727-21,private,0.0,Saudi Arabia,A2,1986
1986-01-23,Grumman HU-16A Albatross,Indonesian AF,5.0,Indonesia,A1,1986
1986-01-27,Boeing 707-387C,Aerolineas Argentinas,0.0,Argentina,A1,1986
1986-01-27,Consolidated PBY-6A Catalina,Aeroservicios Parrague,1.0,Argentina,A2,1986
1986-01-28,Boeing 737-2A1,VASP,1.0,Brazil,A1,1986
1986-01-29,Douglas DC-3A-178,Aero California,21.0,Mexico,A1,1986
1986-01-31,Shorts 360-100,Aer Lingus,0.0,U.K.,A1,1986
,Douglas DC-6BF,Unknown,,,U1,1986
1986-02-02,DHC-8-101,Air Dale,0.0,Canada,A2,1986
1986-02-04,Boeing 747-282B,PIA,0.0,Pakistan,A2,1986
1986-02-05,Lockheed L-1011 TriStar,Delta Air Lines,0.0,USA,H2,1986
1986-02-05,Lockheed L-188AF Electra,GLM Aviation,2.0,D.R. Congo,A1,1986
1986-02-06,Antonov An-26B,"Aeroflot, Belarus",0.0,Russia,A1,1986
1986-02-08,Douglas C-47A (DC-3),SAEP,0.0,Colombia,A1,1986
1986-02-16,Boeing 737-281,China Airlines,13.0,Taiwan,A1,1986
