date,type,operator,fatalities,country,cat,year
1998-02-09,Hawker Siddeley C-91 (HS-748-281 Srs. 2A LFD),Brazilian AF,0.0,Brazil,A1,1998
1998-02-11,Embraer EMB-145ER (ERJ-145ER),"Continental Express, opb ExpressJet Airlines",0.0,USA,A1,1998
1998-02-11,Junkers Ju-52/3m,Ju-Air,0.0,Switzerland,A2,1998
1998-02-12,Antonov An-32B,Sudan AF,26.0,South Sudan,A1,1998
1998-02-16,Airbus A300B4-622R,China Airlines,203.0,Taiwan,A1,1998
1998-02-19,Grumman G-159 Gulfstream I,Skyways Kenya,0.0,Somalia,A1,1998
1998-02-19,Swearingen SA226-TC Metro II,Ibertrans AÃ©rea,2.0,Spain,A1,1998
1998-02-22,Boeing 737-2K3,"Aviogenex, op.for Chanchangi Airlines",0.0,Nigeria,A1,1998
1998-02-22,ATR 72-202,Eurowings,0.0,Germany,A2,1998
1998-02-23,Avro RJ100,THY,0.0,Turkey,H2,1998
1998-02-26,Fokker 100,US Airways,0.0,USA,A2,1998
1998-03-04,Learjet 23,Sierra West Airlines,0.0,USA,A1,1998
1998-03-04,Cessna 650 Citation VII,Tenneco Management Co.,0.0,USA,A2,1998
1998-03-05,Cessna 208B Super Cargomaster,"FedEx, op.for Baron Aviation",1.0,USA,A1,1998
1998-03-07,Let L-410UVP,AerolÃ­neas SOSA,0.0,Honduras,A1,1998
1998-03-10,Boeing 707-336C,Air Memphis,6.0,Kenya,A1,1998
1998-03-10,BAe-146-100,Air Botswana,0.0,Zimbabwe,A2,1998
1998-03-12,CASA C-212-A1 Aviocar 200,Spanish AF,3.0,Spain,A1,1998
1998-03-12,Antonov An-8,Santa Cruz Imperial,,Somalia,A1,1998
1998-03-18,Saab 340B,Formosa Airlines,13.0,Taiwan,A1,1998
1998-03-19,Boeing 727-228,Ariana Afghan Airlines,45.0,Afghanistan,A1,1998
1998-03-19,AÃ©rospatiale SN.601 Corvette,R. L. Riemenschneider Enterprises,0.0,USA,A1,1998
1998-03-22,Airbus A320-214,Philippine Air Lines,3.0,Philippines,A1,1998
1998-03-25,Learjet 24B,Panther Aviation,0.0,USA,A1,1998
1998-03-28,Antonov An-32A,Peruvian AF,22.0,Peru,A1,1998
1998-03-30,Boeing 727,Kibris THY,0.0,Turkey,H2,1998
1998-03-31,Convair CV-240-53 (C-131A),L.A. Mexicana de Carga,2.0,Mexico,A1,1998
1998-03-31,BAe BAe-748-378 Srs. 2B,Emerald Airways,0.0,U.K.,A1,1998
1998-04-04,Cessna 525 CitationJet,Alpha Wolf Enterprises,4.0,USA,A1,1998
1998-04-07,Cessna 208B Super Cargomaster,"FedEx, op.for Corporate Air",1.0,USA,A1,1998
1998-04-11,Dornier Do 28-G92 Turbo Skyservant,Unknown,0.0,Hungary,A1,1998
1998-04-12,Boeing 737-2H4,Orient Eagle Airways,0.0,Kazakhstan,A1,1998
1998-04-20,Boeing 727-230,"TAME Ecuador, opf Air France",53.0,Colombia,A1,1998
1998-04-23,Embraer C-95B Bandeirante (EMB-110),Brazilian AF,3.0,Brazil,A1,1998
1998-04-23,Shorts 330-100,SAFT Gabon,0.0,Gabon,A1,1998
1998-04-24,Ilyushin Il-62M,Trans Asian Airlines,0.0,Turkey,A1,1998
1998-04-25,Lockheed EP-3J Orion,US Navy,0.0,USA,O1,1998
1998-05-05,Boeing 737-282,"Peruvian AF, op.for Occidental Petroleum",75.0,Peru,A1,1998
1998-05-07,Antonov An-32B,Southern Gateway,0.0,South Africa,A1,1998
1998-05-07,DC-9-32,AirTran Airways,0.0,USA,A2,1998
1998-05-08,Embraer C-95B Bandeirante (EMB-110),Brazilian AF,4.0,Brazil,A1,1998
1998-05-10,Lockheed L-1011 TriStar,Air Luxor,0.0,Canada,H2,1998
